"AMOUNT","CASE","CREATED_AT","MERCHANT","RISK_SCORE","USER_ACCOUNT_AGGREGATE_ORDER_COUNT"
"1969.99","903949565","2018-01-28","2007014","49.95",""
"28.95","544891625","2018-01-25","7625","25.21","45"
"8.0","526600526","2018-01-06","8743","45.27","18"
"30.0","542831100","2018-01-23","7625","29.99","1"
"6.0","541722682","2018-01-21","8743","46.91","46"
"19.99","534909702","2018-01-14","12952","35.08","57116"
"4.0","531537423","2018-01-11","7625","48.35","34"
"14.45","533997315","2018-01-13","14731","46.24","973"
"9.0","541776881","2018-01-21","8743","48.81","6"
"82.72","531001321","2018-01-10","2001439","40.92",""
"12.0","534300265","2018-01-14","8743","45.64","46"
"2299.99","894679129","2018-01-14","2007674","22.48",""
"88.0","526256674","2018-01-06","7625","28.81","5"
"12.0","548589827","2018-01-29","8743","43.36","11"
"2.0","536215679","2018-01-16","7625","26.64","7"
"53.2","534531245","2018-01-14","7625","28.31","17"
"7.0","523701859","2018-01-03","8743","43.98","72"
"12.0","545674778","2018-01-26","8743","45.42","7"
"9.0","543591581","2018-01-23","8743","49.08","16"
"45.0","545871231","2018-01-26","7625","28.92","1"
"2.0","531325716","2018-01-11","7625","47.43","55"
"9.0","547217436","2018-01-27","8743","48.3","303"
"8.45","523758875","2018-01-03","7625","28.16","3"
"12.0","549019094","2018-01-29","8743","48.8","68"
"52.0","548900022","2018-01-29","7625","24.81","1"
"2.0","522440073","2018-01-02","7625","45.17","7"
"1059.98","903126581","2018-01-25","2007014","49.85",""
"2.0","531701644","2018-01-11","7625","28.24","10"
"4.0","547282888","2018-01-27","7625","27.88","6"
"331.16","526546832","2018-01-06","2001715","49.05","1"
"2226.48","549155125","2018-01-29","155","42.82",""
"5.44","531531345","2018-01-11","7625","46.13","5"
"6.65","530570068","2018-01-10","7625","28.37","2"
"7.6","533984198","2018-01-13","7625","29.47","4"
"12.0","535983146","2018-01-15","7625","24.97","1"
"90.0","548592898","2018-01-29","7625","44.52","11"
"2.5","526439626","2018-01-06","7625","28.29","5"
"2.0","544916213","2018-01-25","2209","30.9","12404"
"10.0","533298751","2018-01-13","8743","44.62","10633"
"24.0","534166757","2018-01-14","7625","48.77","21"
"11.0","522122490","2018-01-01","8743","47.01","474"
"10.0","531463185","2018-01-11","8743","47.27","9"
"5.0","543841336","2018-01-24","8743","49.47","249"
"7.0","544694190","2018-01-25","8743","47.74","52"
"40.91","535478872","2018-01-15","7625","26.77","1"
"17.5","540502602","2018-01-20","7625","26.72","5"
"3.6","541864109","2018-01-22","7625","24.19","6"
"8.0","541926763","2018-01-22","8743","46.62","8"
"5.0","538926578","2018-01-18","7625","38.23","32"
"2.0","530080083","2018-01-09","7625","27.31","10"
"1.25","541906598","2018-01-22","7625","27.94","1"
"9.0","533305174","2018-01-13","8743","45.72","50"
"11.89","540493756","2018-01-20","7625","25.52","3"
"7.53","537417550","2018-01-17","7625","27.44","107"
"16.0","539277086","2018-01-19","8743","47.51","19"
"2.0","541671062","2018-01-21","7625","29.83","11"
"9.0","534902666","2018-01-14","8743","47.52","8"
"4.0","547211661","2018-01-27","8743","47.44","69"
"9.0","531989149","2018-01-11","8743","49.58","31"
"16.11","543865600","2018-01-24","7625","48.93","12"
"3.0","528577621","2018-01-08","7625","44.39","242"
"3.39","541709039","2018-01-21","7625","28.84","4"
"2.0","534169369","2018-01-14","7625","29.69","4"
"28.17","541869433","2018-01-22","7625","21.62","8"
"82.0","525820372","2018-01-05","7625","64.76","3"
"15.33","538380451","2018-01-18","7625","65.59","5"
"86.71","543604342","2018-01-23","7625","71.56","2"
"4.0","530564434","2018-01-10","7625","58.06","2"
"6.37","523676768","2018-01-03","7625","86.94","1"
"3.96","533186845","2018-01-13","7625","52.61","1"
"2.0","537161890","2018-01-17","7625","99.95","9"
"4.0","543695254","2018-01-24","7625","71.09","2"
"8.0","541904368","2018-01-22","7625","74.78","4"
"17.0","522125526","2018-01-01","7625","83.05","1"
"4.13","544894415","2018-01-25","7625","94.86","5"
"5.42","541016416","2018-01-21","7625","93.57","2"
"15.45","538211759","2018-01-18","7625","94.86","2"
"4.06","527020735","2018-01-06","7625","61.04","2"
"13.23","524409270","2018-01-04","7625","71.81","1"
"13.54","531646721","2018-01-11","7625","98.91","81"
"2.0","537003301","2018-01-17","7625","67.94","6"
"127.0","524971074","2018-01-04","7625","56.26","1"
"1.36","521601244","2018-01-01","12650","68.4","622"
"49.23","531692510","2018-01-11","3573","92.11","1"
"4.0","527906174","2018-01-07","7625","55.03","3"
"1.0","540812147","2018-01-20","7625","54.62","1"
"83.73","543922617","2018-01-24","7625","84.23","3"
"26.0","544432646","2018-01-24","7625","96.73","1"
"8.48","543865270","2018-01-24","7625","80.01","2"
"1353.38","530775878","2018-01-10","4437","72.03",""
"8.44","535326470","2018-01-15","7625","70.47","11"
"223.5","536267239","2018-01-16","7625","78.08","3"
"2.0","527216196","2018-01-06","7625","51.41","5"
