case,created_at,amount,risk_score,user_account_aggregate_order_count,merchant
533305158,13/01/2018,$12,44.89,6,7625
538142612,18/01/2018,$12.86,47.36,29,14731
525474542,05/01/2018,$2,48.47,20,7625
530114583,09/01/2018,$30.48,27.54,1,7625
541539856,21/01/2018,$12,48.95,10,8743
541901465,22/01/2018,$9,48.56,14,8743
540047581,20/01/2018,$17.35,25.17,13,7625
548915802,29/01/2018,$7,42.46,17,8743
538434726,18/01/2018,$3.4,28.5,3,7625
541003259,21/01/2018,$38,41.88,10,7625
535985688,15/01/2018,$9,43.9,7,8743
535329862,15/01/2018,$10,44.18,37,8743
549590673,29/01/2018,$4,22.67,5,7625
531203026,11/01/2018,$25,25.46,1,7625
539285251,19/01/2018,$1.95,49.07,7,7625
523104438,03/01/2018,$6.39,46.46,6,7625
537815768,17/01/2018,$55,49.32,28,8743
524398623,04/01/2018,$670,45.31,,2001723
549054471,29/01/2018,$92,29.47,11,7625
531507406,11/01/2018,$21.19,28.44,1,7625
534096598,13/01/2018,$7.6,25.52,5,7625
540937596,21/01/2018,$2,47.53,15,7625
536209026,16/01/2018,$22.96,29.91,8,7625
543755433,24/01/2018,$23,28.92,2,7625
524425587,04/01/2018,$114,27.73,38,6189
902508100,24/01/2018,$724.99,32.19,,2007014
548921742,29/01/2018,$6,23.42,2,7625
535368247,15/01/2018,$3.97,28.33,6,7625
534703900,14/01/2018,$514,40.5,,4483
542748463,22/01/2018,$26,27.58,24,7625
537437485,17/01/2018,$21,29.94,4,7625
902048590,08/01/2018,$538,36.86,,2007014
531747215,11/01/2018,$9,47.85,10,8743
522110517,01/01/2018,$10.48,46.88,5,7625
540758471,20/01/2018,$6.01,21.09,5,7625
535935820,15/01/2018,$369.94,46.96,,155
531178314,11/01/2018,$1.95,49.68,13,7625
543991048,24/01/2018,$43.86,42.14,,14831
541279262,21/01/2018,$4,48.49,80,7625
529378727,09/01/2018,$7,49.56,21,8743
541596335,21/01/2018,$13.3,21.64,4,7625
537151470,17/01/2018,$2,32.9,12172,2209
521614514,01/01/2018,$3.12,47.33,15,7625
534215436,14/01/2018,$4,48.17,11,8743
533661506,13/01/2018,$4,27.93,3,7625
531186790,11/01/2018,$163,28.66,2,7625
548904648,29/01/2018,$30.33,28.67,2,7625
521462268,01/01/2018,$5,49.27,321,8743
541904391,22/01/2018,$11.6,45.75,9,7625
540049105,20/01/2018,$7,49.35,126,8743
531319583,11/01/2018,$5,48.31,14,7625
541726511,21/01/2018,$59.21,27.42,4,7625
538652760,18/01/2018,$69.99,43.27,,2000240
541824520,21/01/2018,$6,39.74,4,7625
531318407,11/01/2018,$80.4,24.77,2,7625
548899672,29/01/2018,$3,49.21,640,8743
521970054,01/01/2018,$39.61,33.17,,848
540882659,20/01/2018,$37.44,26.52,2,7625
903949565,28/01/2018,$1969.99,49.95,,2007014
544891625,25/01/2018,$28.95,25.21,45,7625
526600526,06/01/2018,$8,45.27,18,8743
542831100,23/01/2018,$30,29.99,1,7625
541722682,21/01/2018,$6,46.91,46,8743
534909702,14/01/2018,$19.99,35.08,57116,12952
531537423,11/01/2018,$4,48.35,34,7625
533997315,13/01/2018,$14.45,46.24,973,14731
541776881,21/01/2018,$9,48.81,6,8743
531001321,10/01/2018,$82.72,40.92,,2001439
534300265,14/01/2018,$12,45.64,46,8743
894679129,14/01/2018,$2299.99,22.48,,2007674
526256674,06/01/2018,$88,28.81,5,7625
548589827,29/01/2018,$12,43.36,11,8743
536215679,16/01/2018,$2,26.64,7,7625
534531245,14/01/2018,$53.2,28.31,17,7625
523701859,03/01/2018,$7,43.98,72,8743
545674778,26/01/2018,$12,45.42,7,8743
543591581,23/01/2018,$9,49.08,16,8743
545871231,26/01/2018,$45,28.92,1,7625
531325716,11/01/2018,$2,47.43,55,7625
547217436,27/01/2018,$9,48.3,303,8743
523758875,03/01/2018,$8.45,28.16,3,7625
549019094,29/01/2018,$12,48.8,68,8743
548900022,29/01/2018,$52,24.81,1,7625
522440073,02/01/2018,$2,45.17,7,7625
903126581,25/01/2018,$1059.98,49.85,,2007014
531701644,11/01/2018,$2,28.24,10,7625
547282888,27/01/2018,$4,27.88,6,7625
526546832,06/01/2018,$331.16,49.05,1,2001715
549155125,29/01/2018,$2226.48,42.82,,155
531531345,11/01/2018,$5.44,46.13,5,7625
530570068,10/01/2018,$6.65,28.37,2,7625
533984198,13/01/2018,$7.6,29.47,4,7625
535983146,15/01/2018,$12,24.97,1,7625
548592898,29/01/2018,$90,44.52,11,7625
526439626,06/01/2018,$2.5,28.29,5,7625
544916213,25/01/2018,$2,30.9,12404,2209
533298751,13/01/2018,$10,44.62,10633,8743
534166757,14/01/2018,$24,48.77,21,7625
522122490,01/01/2018,$11,47.01,474,8743
531463185,11/01/2018,$10,47.27,9,8743
543841336,24/01/2018,$5,49.47,249,8743
544694190,25/01/2018,$7,47.74,52,8743
535478872,15/01/2018,$40.91,26.77,1,7625
540502602,20/01/2018,$17.5,26.72,5,7625
541864109,22/01/2018,$3.6,24.19,6,7625
541926763,22/01/2018,$8,46.62,8,8743
538926578,18/01/2018,$5,38.23,32,7625
530080083,09/01/2018,$2,27.31,10,7625
541906598,22/01/2018,$1.25,27.94,1,7625
533305174,13/01/2018,$9,45.72,50,8743
540493756,20/01/2018,$11.89,25.52,3,7625
537417550,17/01/2018,$7.53,27.44,107,7625
539277086,19/01/2018,$16,47.51,19,8743
541671062,21/01/2018,$2,29.83,11,7625
534902666,14/01/2018,$9,47.52,8,8743
547211661,27/01/2018,$4,47.44,69,8743
531989149,11/01/2018,$9,49.58,31,8743
543865600,24/01/2018,$16.11,48.93,12,7625
528577621,08/01/2018,$3,44.39,242,7625
541709039,21/01/2018,$3.39,28.84,4,7625
534169369,14/01/2018,$2,29.69,4,7625
541869433,22/01/2018,$28.17,21.62,8,7625
525820372,05/01/2018,$82,64.76,3,7625
538380451,18/01/2018,$15.33,65.59,5,7625
543604342,23/01/2018,$86.71,71.56,2,7625
530564434,10/01/2018,$4,58.06,2,7625
523676768,03/01/2018,$6.37,86.94,1,7625
533186845,13/01/2018,$3.96,52.61,1,7625
537161890,17/01/2018,$2,99.95,9,7625
543695254,24/01/2018,$4,71.09,2,7625
541904368,22/01/2018,$8,74.78,4,7625
522125526,01/01/2018,$17,83.05,1,7625
544894415,25/01/2018,$4.13,94.86,5,7625
541016416,21/01/2018,$5.42,93.57,2,7625
538211759,18/01/2018,$15.45,94.86,2,7625
527020735,06/01/2018,$4.06,61.04,2,7625
524409270,04/01/2018,$13.23,71.81,1,7625
531646721,11/01/2018,$13.54,98.91,81,7625
537003301,17/01/2018,$2,67.94,6,7625
