case,created_at,amount,risk_score,user_account_aggregate_order_count,merchant
541554222,2018-01-21,50.40,30.92,4,7625
541865667,2018-01-19,7.10,45.01,,1632
542953810,2018-01-23,18.94,27.41,2,7625
544452375,2018-01-24,23.00,27.64,1,7625
537440535,2018-01-17,2.00,28.95,4,7625
541655783,2018-01-21,1.25,28.24,1,7625
531207402,2018-01-11,7.00,48.62,477,8743
527693069,2018-01-07,14.50,46.92,8,14731
525616719,2018-01-05,43.21,34.00,1,6807
548920295,2018-01-29,6.00,47.44,10,8743
542761122,2018-01-22,3.00,48.98,213,8743
541999207,2018-01-22,6.92,27.18,2,7625
549203384,2018-01-29,4.00,48.33,18,7625
524981892,2018-01-04,5.00,47.53,1264,8743
544698621,2018-01-25,140.12,42.62,,5309
543212028,2018-01-23,5.00,46.63,22,8743
538200796,2018-01-18,5.00,49.21,65,8743
529750136,2018-01-09,7.00,46.29,146,8743
902507302,2018-01-11,2679.97,43.81,,2007014
538662270,2018-01-18,867.60,37.09,,5874
526137864,2018-01-05,436.90,34.73,0,71
524242074,2018-01-04,11.00,49.19,158,8743
541962391,2018-01-22,66.24,24.20,2,7625
529491210,2018-01-09,11.90,48.48,234,7625
523856135,2018-01-03,7.00,47.32,26,8743
533316543,2018-01-13,3.73,49.49,36,7625
531679185,2018-01-11,207.30,19.95,1,7625
525704393,2018-01-05,269.00,28.68,1,7625
544765054,2018-01-25,97.00,29.00,4,7625
541139097,2018-01-21,14.00,48.21,16,8743
544512647,2018-01-24,9.00,47.71,52,8743
543627766,2018-01-23,2.00,26.68,2,7625
535762673,2018-01-15,18.90,25.87,3,7625
524082747,2018-01-03,12.00,46.20,245,8743
542758725,2018-01-22,6.41,45.79,49,14731
537039620,2018-01-17,40.00,48.53,65,7625
541902477,2018-01-22,2.44,42.59,20,7625
535547067,2018-01-15,5.00,47.85,19,8743
524983669,2018-01-04,12.00,44.90,2,7625
523627514,2018-01-03,107.59,46.85,2,12595
534705763,2018-01-14,51.00,36.11,10,7625
533998700,2018-01-13,8.00,47.90,85,8743
545483283,2018-01-25,66.00,24.51,3,7625
541896526,2018-01-22,117.70,21.58,2,7625
904001579,2018-01-29,1299.99,49.22,,2007014
540358200,2018-01-20,2.44,27.62,12,7625
534657555,2018-01-14,7.00,48.05,20,8743
544894534,2018-01-25,10.00,48.78,25,8743
531829544,2018-01-11,13.30,28.81,11,7625
544777325,2018-01-25,8.00,45.87,17,8743
539285850,2018-01-19,8.82,45.65,6,7625
534199097,2018-01-14,6.00,25.72,4,7625
531208884,2018-01-11,6.38,43.05,14,14731
541590651,2018-01-21,10.00,42.79,58,8743
541914479,2018-01-22,10.00,49.34,9,8743
541815583,2018-01-21,13.00,26.64,14,7625
525194190,2018-01-05,4.00,29.33,7,7625
547687192,2018-01-28,64.02,29.58,1,6807
523597817,2018-01-03,12.75,27.87,66,7625
533825890,2018-01-13,12.00,49.40,67,8743
541591383,2018-01-21,11.80,26.46,6,7625
536202440,2018-01-16,5.00,49.83,9,7625
531971018,2018-01-11,31.99,34.45,2,377
537842854,2018-01-17,95.00,34.88,2,7863
531968744,2018-01-11,14.36,48.56,9,14731
539855265,2018-01-19,6.00,48.38,6,8743
529499761,2018-01-09,71.80,20.21,2,7625
546668688,2018-01-27,703.90,30.19,1,7625
542410679,2018-01-22,792.09,47.98,,2207
542727824,2018-01-22,24.00,21.21,3,7625
534468418,2018-01-14,10.00,46.60,6,8743
539194703,2018-01-19,2.00,49.17,10,7625
533621560,2018-01-13,1372.25,41.12,,12885
546122290,2018-01-26,2.00,43.10,,1632
531192572,2018-01-11,2.00,26.36,5,7625
894249326,2018-01-10,3679.96,45.73,,2007674
547762091,2018-01-28,8.00,45.02,5,8743
537188567,2018-01-17,12.00,23.00,12,7625
539198812,2018-01-19,4.00,27.15,20,7625
542194857,2018-01-22,2.85,49.76,66,7625
942825063,2018-01-18,297.25,42.99,2,6632
530123337,2018-01-09,10.33,29.66,2,7625
533370051,2018-01-13,6.65,27.13,14,7625
525030479,2018-01-04,2.00,29.27,6,7625
538009861,2018-01-18,221.48,41.77,,155
544435083,2018-01-24,2.00,46.34,3,7625
538078182,2018-01-18,34.50,25.14,5,7625
547715767,2018-01-28,1.95,49.84,10,7625
522673124,2018-01-02,796.39,40.04,,2207
526666345,2018-01-06,110.95,29.11,5,7625
523017332,2018-01-02,18.00,48.94,8,8743
549165445,2018-01-29,9.80,26.20,5,7625
528343045,2018-01-08,63.10,27.67,1,7625
540754180,2018-01-20,8.00,49.69,161,8743
544476400,2018-01-24,10.40,28.43,10,7625
538841088,2018-01-18,1.85,48.58,8,7625
529805604,2018-01-09,19.28,48.17,1,2000340
536146796,2018-01-16,1.90,28.26,3,7625
546117200,2018-01-26,13.00,28.07,1,7625
541529219,2018-01-21,4.00,23.17,9,7625
543854034,2018-01-24,28.60,27.49,8,7625
542411181,2018-01-22,3700.00,45.95,,2207
546949653,2018-01-27,2.00,49.82,6,7625
542184153,2018-01-22,16.15,27.73,42,7625
548923760,2018-01-29,162.43,49.60,,2207
544659315,2018-01-25,28.00,24.43,1,7625
534426590,2018-01-14,7.00,44.76,19,8743
544776765,2018-01-25,5.00,27.96,36,7625
525512491,2018-01-05,5.00,24.01,5,7625
533975619,2018-01-14,1309.28,47.02,4,2001715
535935260,2018-01-15,9.63,47.03,25,14731
536151358,2018-01-16,497.93,30.76,,155
522185129,2018-01-02,46.23,41.29,13,7625
531331401,2018-01-11,2.00,44.53,42,8743
